#       r             R(r)          X(r)=rR(r)          e
  3.211868e-01   2.902562e-01   9.322648e-02  -4.000000e+02
  3.244148e-01   2.721095e-01   8.827635e-02  -4.000000e+02
  3.276752e-01   2.549318e-01   8.353484e-02  -4.000000e+02
  3.309684e-01   2.386820e-01   7.899621e-02  -4.000000e+02
  3.342947e-01   2.233202e-01   7.465475e-02  -4.000000e+02
  3.376544e-01   2.088074e-01   7.050473e-02  -4.000000e+02
  3.410479e-01   1.951059e-01   6.654046e-02  -4.000000e+02
  3.444755e-01   1.821792e-01   6.275626e-02  -4.000000e+02
  3.479375e-01   1.699917e-01   5.914651e-02  -4.000000e+02
  3.514344e-01   1.585093e-01   5.570562e-02  -4.000000e+02
  3.549664e-01   1.476986e-01   5.242804e-02  -4.000000e+02
  3.585338e-01   1.375276e-01   4.930828e-02  -4.000000e+02
  3.621371e-01   1.279651e-01   4.634093e-02  -4.000000e+02
  3.657767e-01   1.189814e-01   4.352062e-02  -4.000000e+02
  3.694528e-01   1.105474e-01   4.084206e-02  -4.000000e+02
  3.731659e-01   1.026355e-01   3.830005e-02  -4.000000e+02
  3.769162e-01   9.521866e-02   3.588946e-02  -4.000000e+02
  3.807043e-01   8.827126e-02   3.360525e-02  -4.000000e+02
  3.845305e-01   8.176847e-02   3.144247e-02  -4.000000e+02
  3.883951e-01   7.568650e-02   2.939626e-02  -4.000000e+02
  3.922985e-01   7.000251e-02   2.746188e-02  -4.000000e+02
  3.962412e-01   6.469460e-02   2.563466e-02  -4.000000e+02
  4.002234e-01   5.974180e-02   2.391007e-02  -4.000000e+02
  4.042458e-01   5.512403e-02   2.228365e-02  -4.000000e+02
  4.083085e-01   5.082208e-02   2.075109e-02  -4.000000e+02
  4.124121e-01   4.681762e-02   1.930815e-02  -4.000000e+02
  4.165569e-01   4.309312e-02   1.795074e-02  -4.000000e+02
  4.207433e-01   3.963189e-02   1.667485e-02  -4.000000e+02
  4.249719e-01   3.641800e-02   1.547663e-02  -4.000000e+02
  4.292429e-01   3.343631e-02   1.435230e-02  -4.000000e+02
  4.335569e-01   3.067240e-02   1.329823e-02  -4.000000e+02
  4.379142e-01   2.811257e-02   1.231089e-02  -4.000000e+02
  4.423153e-01   2.574382e-02   1.138689e-02  -4.000000e+02
  4.467607e-01   2.355381e-02   1.052292e-02  -4.000000e+02
  4.512507e-01   2.153086e-02   9.715816e-03  -4.000000e+02
  4.557858e-01   1.966390e-02   8.962527e-03  -4.000000e+02
  4.603665e-01   1.794246e-02   8.260109e-03  -4.000000e+02
  4.649933e-01   1.635665e-02   7.605735e-03  -4.000000e+02
  4.696666e-01   1.489715e-02   6.996691e-03  -4.000000e+02
  4.743868e-01   1.355513e-02   6.430374e-03  -4.000000e+02
  4.791545e-01   1.232231e-02   5.904291e-03  -4.000000e+02
  4.839700e-01   1.119089e-02   5.416056e-03  -4.000000e+02
  4.888340e-01   1.015352e-02   4.963386e-03  -4.000000e+02
  4.937469e-01   9.203310e-03   4.544106e-03  -4.000000e+02
  4.987091e-01   8.333791e-03   4.156137e-03  -4.000000e+02
  5.037212e-01   7.538900e-03   3.797504e-03  -4.000000e+02
  5.087837e-01   6.812959e-03   3.466323e-03  -4.000000e+02
  5.138971e-01   6.150660e-03   3.160806e-03  -4.000000e+02
  5.190618e-01   5.547039e-03   2.879256e-03  -4.000000e+02
  5.242785e-01   4.997467e-03   2.620064e-03  -4.000000e+02
  5.295476e-01   4.497625e-03   2.381706e-03  -4.000000e+02
  5.348696e-01   4.043492e-03   2.162741e-03  -4.000000e+02
  5.402451e-01   3.631326e-03   1.961806e-03  -4.000000e+02
  5.456747e-01   3.257653e-03   1.777619e-03  -4.000000e+02
  5.511588e-01   2.919243e-03   1.608967e-03  -4.000000e+02
  5.566981e-01   2.613106e-03   1.454711e-03  -4.000000e+02
  5.622930e-01   2.336471e-03   1.313781e-03  -4.000000e+02
  5.679441e-01   2.086773e-03   1.185170e-03  -4.000000e+02
  5.736520e-01   1.861644e-03   1.067936e-03  -4.000000e+02
  5.794173e-01   1.658899e-03   9.611948e-04  -4.000000e+02
  5.852406e-01   1.476522e-03   8.641206e-04  -4.000000e+02
  5.911223e-01   1.312658e-03   7.759414e-04  -4.000000e+02
  5.970632e-01   1.165600e-03   6.959372e-04  -4.000000e+02
  6.030638e-01   1.033783e-03   6.234370e-04  -4.000000e+02
  6.091247e-01   9.157671e-04   5.578164e-04  -4.000000e+02
  6.152465e-01   8.102364e-04   4.984951e-04  -4.000000e+02
  6.214298e-01   7.159851e-04   4.449345e-04  -4.000000e+02
  6.276753e-01   6.319119e-04   3.966355e-04  -4.000000e+02
  6.339835e-01   5.570110e-04   3.531358e-04  -4.000000e+02
  6.403552e-01   4.903661e-04   3.140085e-04  -4.000000e+02
  6.467909e-01   4.311425e-04   2.788590e-04  -4.000000e+02
  6.532912e-01   3.785816e-04   2.473240e-04  -4.000000e+02
  6.598569e-01   3.319943e-04   2.190687e-04  -4.000000e+02
  6.664886e-01   2.907560e-04   1.937855e-04  -4.000000e+02
  6.731869e-01   2.543008e-04   1.711920e-04  -4.000000e+02
  6.799525e-01   2.221172e-04   1.510291e-04  -4.000000e+02
  6.867862e-01   1.937430e-04   1.330600e-04  -4.000000e+02
  6.936885e-01   1.687614e-04   1.170679e-04  -4.000000e+02
  7.006602e-01   1.467972e-04   1.028550e-04  -4.000000e+02
  7.077019e-01   1.275129e-04   9.024110e-05  -4.000000e+02
  7.148145e-01   1.106052e-04   7.906217e-05  -4.000000e+02
